UKPRN,PROVIDER_NAME,UPDATED
10004676,Petroc,04/09/2018
10004686,North East Surrey College of Technology (NESCOT),04/09/2018
10004690,North Hertfordshire College,04/09/2018
10004695,DN Colleges Group,04/09/2018
10004718,North Warwickshire and South Leicestershire College,04/09/2018
10004721,North Kent College,04/09/2018
10004736,Greater Brighton Metropolitan College,04/09/2018
10004740,Northern College of Acupuncture,04/09/2018
10004760,Northumberland College,04/09/2018
10004772,City College Norwich,04/09/2018
10004775,Norwich University of the Arts,04/09/2018
10004797,The Nottingham Trent University,04/09/2018
10004835,Oaklands College,04/09/2018
10004927,Activate Learning,04/09/2018
10004930,Oxford Brookes University,04/09/2018
10005032,Salford City College,04/09/2018
10005072,Peter Symonds College,04/09/2018
10005077,Peterborough Regional College,04/09/2018
10005124,Plumpton College,04/09/2018
10005128,City College Plymouth,04/09/2018
10005200,Preston College,04/09/2018
10005337,"Queen Margaret University, Edinburgh",04/09/2018
10005343,Queen's University Belfast,04/09/2018
10005389,Ravensbourne University London,04/09/2018
10005404,Reaseheath College,04/09/2018
10005414,Redcar and Cleveland College,04/09/2018
10005451,Arden University,04/09/2018
10005455,REVETT,04/09/2018
10005465,Richard Huish College,04/09/2018
10005469,Richmond Upon Thames College,04/09/2018
10005470,"Richmond, The American International University in London",04/09/2018
10005500,The Robert Gordon University,04/09/2018
10005523,Rose Bruford College of Theatre and Performance,04/09/2018
10005534,RNN Group,04/09/2018
10005544,Royal Academy of Dance,04/09/2018
10005545,Royal Agricultural University,04/09/2018
10005553,Royal Holloway and Bedford New College,04/09/2018
10005561,Royal Conservatoire of Scotland,04/09/2018
10005583,Ruskin College,04/09/2018
10005669,Sandwell College,04/09/2018
10005700,SRUC,04/09/2018
10005736,SEEVIC College,04/09/2018
10005741,Selby College,04/09/2018
10005788,The Sheffield College,04/09/2018
10005790,Sheffield Hallam University,04/09/2018
10005822,Shrewsbury Colleges Group,04/09/2018
10005916,Slough Borough Council,04/09/2018
10005946,Solihull College and University Centre,04/09/2018
10005967,South and City College Birmingham,04/09/2018
10005972,Cheshire College South and West,04/09/2018
10005977,South Devon College,04/09/2018
10005979,Havant and South Downs College,04/09/2018
10005981,South Essex College of Further and Higher Education,04/09/2018
10005998,The Trafford College Group,04/09/2018
10005999,Tyne Coast College,04/09/2018
10006020,Southampton City College,04/09/2018
10006022,Solent University,04/09/2018
10006038,Southport College,04/09/2018
10006050,Sparsholt College,04/09/2018
10006093,Spurgeon's College,04/09/2018
10006174,St Helens College,04/09/2018
10006226,St Mary's College,04/09/2018
10006243,St Patrick's International College,04/09/2018
10006303,New College Stamford,04/09/2018
10006322,Stephenson College,04/09/2018
10006341,Stockton Riverside College,04/09/2018
10006349,Stoke On Trent College,04/09/2018
10006378,Strode College,04/09/2018
10006398,Suffolk New College,04/09/2018
10006427,University forThe Creative Arts,04/09/2018
