KISCOURSEID,SBJ
K00325,CAH22-01-01
K00326,CAH02-03-02
K00327,CAH02-03-02
K00328,CAH21-01-06
K00329,CAH02-02-01
K00330,CAH02-02-01
K00331,CAH15-03-01
K00333,CAH10-01-07
K00334,CAH15-04-01
K00335,CAH13-01-02
K00336,CAH17-01-06
K00338,CAH02-03-08
K00339,CAH03-02-01
K00340,CAH14-01-01
K00341,CAH15-01-02
K00347,CAH15-01-03
K00352,CAH17-01-08
K00353,CAH03-01-02
K00354,CAH07-03-04
K00355,CAH15-01-02
K00356,CAH03-02-01
K00361,CAH17-01-04
K00363,CAH19-01-03
K00365,CAH11-01-01
K00366,CAH11-01-01
K00367,CAH11-01-04
K00368,CAH11-01-04
K00369,CAH15-04-02
K00370,CAH20-01-01
K00371,CAH10-01-06
K00372,CAH02-03-12
K00373,CAH15-01-02
K00375,CAH15-01-02
K00376,CAH22-01-01
K00377,CAH22-01-01
K00378,CAH17-01-07
K00379,CAH15-01-02
K00379,CAH16-01-01
K00380,CAH21-01-05
K00381,CAH01-01-02
K00382,CAH03-02-01
K00383,CAH03-02-01
K00384,CAH17-01-04
K00385,CAH03-02-01
K00386,CAH03-02-01
K00387,CAH03-02-01
K00388,CAH03-02-01
K00389,CAH03-02-01
K00390,CAH11-01-05
K00391,CAH11-01-05
K00442,CAH19-01-03
BAMT,CAH21-01-05
BAct,CAH21-01-06
BAACT,CAH21-01-06
BAADH,CAH20-01-02
BAAEP,CAH17-01-06
BAANP,CAH21-01-08
BAARC,CAH13-01-01
BACPH,CAH21-01-08
BACRW,CAH19-01-05
BACSS,CAH21-01-06
BADAN,CAH21-01-07
BADRA,CAH21-01-02
BAFAR,CAH21-01-02
BAFCO,CAH21-01-03
BAFLP,CAH21-01-08
BAFSC,CAH21-01-03
BAGDS,CAH21-01-03
BAIAD,CAH21-01-03
BAILL,CAH21-01-03
BAMDM,CAH21-01-03
BAMMP,CAH21-01-06
BAPHO,CAH21-01-08
BATXT,CAH21-01-03
BAVCO,CAH21-01-03
BAVFX,CAH21-01-08
UASH-09739,CAH22-01-01
UASH-10191,CAH02-03-12
UASH-11716,CAH15-04-02
UASH-11775,CAH22-01-01
UASH-12017,CAH21-01-08
BSAS3F,CAH06-01-03
BSCAGF,CAH06-01-03
BSCESF,CAH06-01-01
BSCHOF,CAH13-01-03
DFACCF,CAH06-01-01
DFACCF,CAH06-01-03
DFACCP,CAH06-01-03
DFAGRF,CAH06-01-03
DFAGRF,CAH06-01-03
DFAMXF,CAH06-01-03
DFAMXF,CAH06-01-03
DFAUFF,CAH06-01-05
